MASON,296,-8.36,2604493,-5.76
MATHER HS,1425,-5.13,11616801,-4.73
MAYER,640,5.44,5353483,4.68
MAYS,358,-7.25,3018158,-10.55
MCAULIFFE,678,-3.42,5101351,4.06
MCCLELLAN,324,1.57,3021866,-0.93
MCCORMICK,674,-4.40,5091918,-0.09
MCCUTCHEON,326,-8.17,3679038,-8.33
MCDADE,196,0.00,1430633,2.18
MCDOWELL,147,-5.77,1122985,-8.28
MCKAY,729,-0.14,6054071,3.07
MCNAIR,379,-0.79,4056970,3.48
MCPHERSON,642,-5.03,6515519,-1.43
MELODY,386,-6.08,3298409,0.67
METCALFE,344,-9.23,2639719,-9.22
MIRELES,507,-5.76,3965966,-3.28
MITCHELL,364,1.11,2691852,-1.09
MOLLISON,313,-10.57,2957122,-4.36
MONROE,757,-7.46,5767154,-7.14
MONTESSORI ENGLEWOOD,258,10.73,2225997,7.30
MOOS,484,0.83,3886506,-0.82
MORGAN PARK HS,1432,0.85,11982933,2.44
MORRILL,665,-4.86,5169102,1.86
MORTON,312,-11.11,2538664,-4.53
MOUNT GREENWOOD,1129,1.99,6604480,4.35
MOUNT VERNON,217,-9.96,1914484,-4.52
MOVING EVEREST,350,28.21,2705799,31.76
MOZART,637,-5.21,4948265,-1.39
MULTICULTURAL HS,243,-3.19,2354069,-4.55
MURPHY,494,-2.76,3976645,0.41
MURRAY,526,1.15,3902027,3.67
NAMASTE,482,-0.62,3862683,5.80
NASH,270,-11.18,1925138,-9.38
NATIONAL TEACHERS,722,5.09,5427644,10.72
NEIL,255,-5.56,4326498,-4.21
NETTELHORST,749,0.00,5042219,5.13
NEW FIELD,524,-1.69,4580176,4.19
NEW SULLIVAN,414,-3.94,4071024,0.20
NEWBERRY,561,0.72,4583336,3.24
NICHOLSON,481,-0.21,4208320,2.09
NIGHTINGALE,1113,-2.20,8134664,0.92
NINOS HEROES,325,-3.85,2813320,2.13
NIXON,763,-6.38,5453410,-4.92
NKRUMAH,209,-1.88,1710178,6.56
NOBEL,808,-2.06,6074966,2.45
NOBLE  ACADEMY HS,441,27.46,3584845,28.76
NOBLE  BAKER HS,346,-11.51,3377173,-4.60
NOBLE  BULLS HS,1145,-0.09,9840298,5.06
NOBLE  BUTLER HS,643,4.55,5683868,7.58
NOBLE  COMER HS,1150,0.97,9928751,4.00
NOBLE  DRW HS,523,-4.04,4991157,3.52
NOBLE  GOLDER HS,651,-0.46,5839501,8.22
NOBLE  HANSBERRY HS,682,-3.81,6031562,0.05
NOBLE  ITW SPEER HS,962,17.60,8037351,17.50
NOBLE  JOHNSON HS,874,1.16,7897770,3.98
NOBLE  MANSUETO HS,398,117.49,3138270,103.99
NOBLE  MUCHIN HS,976,3.17,8126509,7.38
